Dr/Cr,group of chart acct,,,Ledger,Ledger Name,Currency,balance only 
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1,CASH IN VAULT,1 ETB,-1407741993
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1,CASH IN VAULT,2 USD,-71366889.25
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1,CASH IN VAULT,4 EUR,-20330678.66
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1,CASH IN VAULT,3 GBP,-3848557.53
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2,CASH PETTY,1 ETB,-494960.54
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3,CASH IN ATM,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4,CASH IN BOX,4 EUR,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4,CASH IN BOX,2 USD,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4,CASH IN BOX,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7,CASH IN TRANSIT,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,20,CURRENCY POSITION-SPOT,3 GBP,2034901.59
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,20,CURRENCY POSITION-SPOT,2 USD,-577675613.4
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,20,CURRENCY POSITION-SPOT,4 EUR,-1068687.82
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,20,CURRENCY POSITION-SPOT,1 ETB,576709399.7
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,51,NBE-PAYMENT AND SETTLEMENT ACCOUNT,1 ETB,-184386971.7
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,52,HEAD OFFICE&BRANCHES ISSUE ACCOUNT-NBE,1 ETB,-269393700
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,60,NBE-RESERVE ACCOUNT,1 ETB,-1370000000
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,70,NBE-PAYMENT & SETTELMENT-MIRROR,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,72,NBE-OUTWARD CLEARING-REJECTED CHEQUES,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,78,INWARD CHEQUES,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,101,CURRENT ACOUNT-DEPOSIT WITH LOCAL BANKS,1 ETB,-78777848.67
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,102,SAVING ACCOUNT-DEPOSIT WITH LOCAL BANKS,1 ETB,-315293152.8
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,107,FIXED TIME DEPOSIT WITH OTHER BANKS,1 ETB,-108166095.9
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,201,CURRENT ACCOUNT DEPO WITH FOREIGN BANKS,4 EUR,2848639.48
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,201,CURRENT ACCOUNT DEPO WITH FOREIGN BANKS,2 USD,-1294517243
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,210,PAID EXPORT/ LCs,2 USD,0
